item_id,dept_id,cat_id,store_id,date,sales,lag_1,lag_7,lag_28,rolling_mean_7,rolling_mean_28,sell_price,price_change_pct,is_weekend,day_of_week_num,month,year,snap_CA
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-04-25,25,20.0,50.0,17.0,32.142857,26.107143,1.18,0.0,0,0,4,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-04-26,24,25.0,32.0,14.0,28.571428,26.392857,1.18,0.0,0,1,4,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-04-27,20,24.0,24.0,17.0,27.428572,26.75,1.18,0.0,0,2,4,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-04-28,21,20.0,26.0,8.0,26.857143,26.857143,1.18,0.0,0,3,4,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-04-29,33,21.0,35.0,31.0,26.142857,27.321428,1.18,0.0,0,4,4,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-04-30,43,33.0,38.0,42.0,25.857143,27.392857,1.18,0.0,1,5,4,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-01,37,43.0,20.0,24.0,26.571428,27.428572,1.18,0.0,1,6,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-02,27,37.0,25.0,23.0,29.0,27.892857,1.18,0.0,0,0,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-03,23,27.0,24.0,22.0,29.285715,28.035715,1.18,0.0,0,1,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-04,18,23.0,20.0,28.0,29.142857,28.071428,1.18,0.0,0,2,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-05,18,18.0,21.0,21.0,28.857143,27.714285,1.18,0.0,0,3,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-06,35,18.0,33.0,27.0,28.428572,27.607143,1.18,0.0,0,4,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-07,38,35.0,43.0,32.0,28.714285,27.892857,1.18,0.0,1,5,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-08,30,38.0,37.0,18.0,28.0,28.107143,1.18,0.0,1,6,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-09,27,30.0,27.0,24.0,27.0,28.535715,1.18,0.0,0,0,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-10,31,27.0,23.0,20.0,27.0,28.642857,1.18,0.0,0,1,5,2016,1
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-11,16,31.0,18.0,22.0,28.142857,29.035715,1.18,0.0,0,2,5,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-12,23,16.0,18.0,22.0,27.857143,28.821428,1.18,0.0,0,3,5,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-13,33,23.0,35.0,23.0,28.571428,28.857143,1.18,0.0,0,4,5,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-14,39,33.0,38.0,30.0,28.285715,29.214285,1.18,0.0,1,5,5,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-15,45,39.0,30.0,41.0,28.428572,29.535715,1.18,0.0,1,6,5,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-16,20,45.0,27.0,50.0,30.571428,29.678572,1.18,0.0,0,0,5,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-17,23,20.0,31.0,32.0,29.571428,28.607143,1.18,0.0,0,1,5,2016,0
FOODS_3_064,FOODS_3,FOODS,CA_1,2016-05-18,32,23.0,16.0,24.0,28.428572,28.285715,1.18,0.0,0,2,5,2016,0
